r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared
0.012002535465827056	0.011840133822431986	1318219.054111114	73.90649019870123	1.6539049069236464e-47	3	-283146.3889894638	566302.7779789276	566341.838950398	31714789613318820	18251	18255	Linear model	NA	NA
0.001429918947674216	-0.270945353474352	NA	10.268632085357732	3.496066702359422e-5	NA	NA	NA	NA	3084089450192200	14342	18255	Linear model with fixed effect	NA	NA
0.00129451481974501	0.0011303530502231318	1459577108.938643	7.88560469052326	2.966756983659e-5	3	-291446.45176611	582902.90353222	582941.9645036905	38881297764449725e6	18251	18255	Linear model assets weighted	NA	NA
0.7991357693486403	0.7442578177924308	738539654.2254059	NA	NA	NA	-262084.08641615897	532004.1728323179	562612.3500765616	NA	NA	18255	Linear model assets weighted with fixed effect	1.357577498195539e-6	NA
0.012963542129075637	0.012584890558675288	1317722.202535951	34.2360712128219	9.307263601081488e-48	7	-283137.5065202449	566293.01304048975	566363.3227891366	31683941230366440	18247	18255	Event study	NA	NA
0.007922852182776743	-0.2633860929437417	NA	11.44731167710039	8.11616705190051e-20	NA	NA	NA	NA	3064035988476246	14334	18255	Event study with fixed effects	NA	NA
0.0027066958102168748	0.0023241094601686996	1458704672.565752	NA	NA	NA	-289404.6826316259	578825.3652632518	578887.8628176046	NA	NA	18255	Event study assets weighted	NA	NA
0.7991616285342816	0.7442372238917802	738569389.4571115	NA	NA	NA	-262089.10899828974	532020.2179965795	562651.8318237053	NA	NA	18255	Event study assets weighted with fixed effects	1.3009702728272732e-4	NA
