r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared
0.010780602378840612	0.010657900890671201	1219757.7048475416	87.86040446357896	1.5324830457335576e-56	3	-373324.72094941395	746659.4418988279	746699.9103718459	35984145052526124	24186	24190	Linear model	NA	NA
3.4209826452431385e-4	-0.2792003906829297	NA	3.2344482462834456	0.039403724621005345	NA	NA	NA	NA	3439956971580090	18903	24190	Linear model with fixed effect	NA	NA
0.0018088614356294587	0.001685047104376003	1567995005.6225398	14.609467396212791	1.6727223530555302e-9	3	-387689.8945134167	775389.7890268334	775430.2574998514	5946390125457775e7	24186	24190	Linear model assets weighted	NA	NA
0.8481199508636401	0.8055970733114928	691930200.2700969	NA	NA	NA	-345092.04491613444	700768.0898322689	743599.9216745417	NA	NA	24190	Linear model assets weighted with fixed effect	2.0593882551356302e-4	NA
0.012122704686408319	0.011836742356278629	1219030.7927174752	42.39266298086257	7.162850645370711e-60	7	-373308.30017448537	746634.6003489707	746707.4436004031	35935324331635500	24182	24190	Event study	NA	NA
0.004104968331828496	-0.274924843663477	NA	7.788308422421582	1.3904178262261488e-12	NA	NA	NA	NA	3427008430785528.5	18895	24190	Event study with fixed effects	NA	NA
0.003479551514561141	0.00319108723785122	1566811834.5759068	NA	NA	NA	-380102.9863689373	760221.9727378746	760286.7222947035	NA	NA	24190	Event study assets weighted	NA	NA
0.8481593394186748	0.8056166319766248	691895392.2254846	NA	NA	NA	-345096.4099198523	700782.8198397045	743638.9327657882	NA	NA	24190	Event study assets weighted with fixed effects	4.652253060349887e-4	NA
