r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared
0.10881395517976925	0.10823287321183594	2.268594691065067	187.26093939345353	1.428241760679446e-114	3	-10304.445459498984	20618.890918997968	20651.065408741415	23679.147134583927	4601	4605	Linear model	NA	NA
0.008938370714503544	-0.32179830278981036	NA	15.566769409038873	1.8609837287550279e-7	NA	NA	NA	NA	3609.155032769774	3452	4605	Linear model with fixed effect	NA	NA
0.22415963860998897	0.22365376573796758	2959.3551049861608	443.1145669352034	6.76669964700709e-253	3	-11931.11595035524	23872.23190071048	23904.40639045393	40294557914.71259	4601	4605	Linear model assets weighted	NA	NA
0.8533442676178995	0.8041186562555293	1486.503352368377	NA	NA	NA	-5975.071534315957	14266.143068631915	21717.75489321425	NA	NA	4605	Linear model assets weighted with fixed effect	0.003150661315968084	NA
0.10907372404468901	0.10771708190162022	2.2692506651666533	80.39977572711982	1.5571297893261502e-110	7	-10303.774213574987	20625.548427149974	20683.46250868818	23672.244978508694	4597	4605	Event study	NA	NA
0.022336594793113163	-0.3069576996435852	NA	7.868478257218255	1.299609819308005e-12	NA	NA	NA	NA	3560.3626404153506	3444	4605	Event study with fixed effects	NA	NA
0.2245532525004067	0.22337245475568246	2959.8912212535697	NA	NA	NA	-10767.686215381964	21551.372430763928	21602.851614353443	NA	NA	4605	Event study assets weighted	NA	NA
0.8567162689121374	0.8084557787663996	1469.9544682907028	NA	NA	NA	-5963.620010704663	14249.240021409327	21720.156539837728	NA	NA	4605	Event study assets weighted with fixed effects	0.026070851380171622	NA
