r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared
0.027463688732800005	0.026625776919531274	1354941.2893762533	32.77634746031815	6.929761207318933e-21	3	-54164.189205563875	108338.37841112775	108369.16096225815	6392485055640225	3482	3486	Linear model	NA	NA
0.0026533729839148448	-0.3271298186907432	NA	3.4838358383304247	0.030831765069835242	NA	NA	NA	NA	760728204668669.1	2619	3486	Linear model with fixed effect	NA	NA
0.1775123453235547	0.17680371150275365	1630644246.1073558	250.49939773250793	3.454643436692712e-147	3	-55109.10468178984	110228.20936357968	110258.99191471007	925864028893806e7	3482	3486	Linear model assets weighted	NA	NA
0.8124602098261993	0.7499708612258242	898675357.2666339	NA	NA	NA	-50466.07816878955	102676.1563375791	108044.63325472083	NA	NA	3486	Linear model assets weighted with fixed effect	0.0033545003480972557	NA
0.028359043598800062	0.0264034695059856	1355096.0070017818	14.501646193311437	1.0140949037980846e-18	7	-54162.58379265455	108343.1675853091	108398.57617734381	6386599884532379	3478	3486	Event study	NA	NA
0.014741412710604484	-0.3150617298749687	NA	3.90657123763631	2.7127023308994203e-5	NA	NA	NA	NA	751508027339984.1	2611	3486	Event study with fixed effects	NA	NA
0.18033734189378026	0.1786876470672295	1628777262.2681644	NA	NA	NA	-54949.78403533382	109915.56807066764	109964.82015247627	NA	NA	3486	Event study assets weighted	NA	NA
0.8162883310491684	0.7547931189989858	889966884.8693138	NA	NA	NA	-50463.65214710329	102677.30429420658	108064.25074202655	NA	NA	3486	Event study assets weighted with fixed effects	0.02369834196943188	NA
