r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared
3.5785215920227964e-4	1.4813702329163903e-4	2.091604042631309	1.7063725879792118	0.16333115019429195	3	-30849.86518685845	61709.7303737169	61747.571846203966	62559.74683746837	14300	14304	Linear model	NA	NA
0.002682530159519816	-0.3325204830572992	NA	14.396862697218086	5.700536268973923e-7	NA	NA	NA	NA	12721.652647402685	10705	14304	Linear model with fixed effect	NA	NA
0.010342220749174949	0.010134600236045399	1515.016742183791	49.81309694924979	5.103533126982926e-32	3	-30558.075453589874	61126.15090717975	61163.992379666815	32822442926.089783	14300	14304	Linear model assets weighted	NA	NA
0.7262589224958718	0.6340823708839677	921.1302119447894	NA	NA	NA	-19457.737713499773	46123.47542699955	73399.60879567706	NA	NA	14304	Linear model assets weighted with fixed effect	7.636555514923815e-4	NA
0.001010594760736226	5.214421420544069e-4	2.091213545089311	2.0660111428201406	0.04362061613513188	7	-30845.19357518	61708.38715036	61776.50180083672	62518.896807294885	14296	14304	Event study	NA	NA
0.0038808667171154904	-0.33191473902450186	NA	4.167536782088288	8.796722149039523e-6	NA	NA	NA	NA	12706.366821272715	10697	14304	Event study with fixed effects	NA	NA
0.010352301035604694	0.009867722559614767	1515.2209603023741	NA	NA	NA	-33113.542207391874	66243.08441478375	66303.63077076306	NA	NA	14304	Event study assets weighted	NA	NA
0.7265183036035205	0.6343265678639951	920.8228001957476	NA	NA	NA	-19458.955175903182	46131.910351806364	73430.74860397613	NA	NA	14304	Event study assets weighted with fixed effects	0.0017104737352635624	NA
