r.squared	adj.r.squared	sigma	statistic	p.value	df	logLik	AIC	BIC	deviance	df.residual	nobs	model	within.r.squared	pseudo.r.squared
0.5821604961133616	0.5821176349182697	0.1853294678108747	13582.460658507265	0	3	7802.4368650457345	-15594.873730091469	-15553.455555828168	1004.5127023960085	29246	29250	Linear model	NA	NA
0.08248905587987282	-0.11990475335181738	NA	1077.1998190958686	0	NA	NA	NA	NA	461.534261781501	23963	29250	Linear model with fixed effect	NA	NA
0.5923780074638071	0.5922246508074729	0.183074535441617	NA	NA	NA	8164.510048250664	-16305.020096501328	-16205.616478269409	NA	NA	29250	Linear model with time and fixed effects	NA	NA
0.5923780074635498	0.5922246508072155	0.18307453544162716	3862.7472822073437	0	11	8164.510048250681	-16303.020096501363	-16195.332843416783	979.9491562433262	29238	29250	Linear model with time	NA	NA
0.13158070199531888	-0.060337968997658864	NA	362.96011886658323	0	NA	NA	NA	NA	436.83975890414825	23955	29250	Firm clustered model with time	NA	NA
0.5923780074638061	0.592224650807472	0.18307453544161725	NA	NA	NA	8164.510048250664	-16305.020096501328	-16205.616478269409	NA	NA	29250	Firm clustered model with time and fixed effects	0.057231605425522525	NA
0.0036359662552210114	0.003465612672649443	0.28619602752991596	21.343644203624475	2.216266935245467e-21	5	-4906.911747346509	9827.823494693019	9885.80893866164	2395.3224115896605	29244	29250	Event study saturated	NA	NA
0.016964288045812254	-0.20003387057379118	NA	82.69574271512101	2.097609990261362e-86	NA	NA	NA	NA	494.49509515844454	23960	29250	Event study saturated with fixed effects	NA	NA
